Wall time,Step,Value
1722208757.0521507,6494,-4057.916259765625
1722208757.054182,6494,-4043.761962890625
1722208783.2274094,12908,-3881.931884765625
1722208783.4764855,12970,-3927.85205078125
1722208812.6655414,19344,-3805.708740234375
1722208813.178179,19480,-3806.56201171875
1722208842.4141219,25834,-3767.591796875
1722208842.622484,25894,-3701.59619140625
1722208848.7307038,27654,-1995.1475830078125
1722208866.1841257,32308,-3624.21142578125
1722208874.4154012,34104,-3586.955322265625
1722208891.1511486,38796,-3521.198974609375
1722208896.9153144,40592,-3511.41162109375
1722208915.807589,45228,-3391.944580078125
1722208921.5318058,47066,-3367.437255859375
1722208938.2589173,51680,-3256.738037109375
1722208946.9742057,53536,-3239.059326171875
1722208964.5802276,58130,-3126.346435546875
1722208970.506859,59968,-3092.92919921875
1722208972.2347584,60490,-1248.7257080078125
1722208987.459095,64558,-3031.274658203125
1722208996.8149834,66912,-2972.4921875
1722209012.0209322,70970,-2872.627685546875
1722209019.769706,73358,-2854.917724609375
1722209026.366538,74704,-1572.5001220703125
1722209035.2045465,77400,-2807.4296875
1722209050.0156548,81114,-2692.5576171875
1722209061.2187805,83808,-2649.8642578125
1722209075.9892452,87542,-2545.7529296875
1722209087.570153,90236,-2518.2373046875
1722209099.8408082,94008,-2398.275390625
1722209110.5981195,96668,-2311.0830078125
1722209124.2849495,100458,-2215.926025390625
1722209134.47957,103100,-2165.264404296875
1722209148.1124933,106870,-2097.594970703125
1722209156.3799775,109516,-2024.1875
1722209169.5860543,113296,-1949.880859375
1722209180.0064,115946,-1859.4423828125
1722209194.9383197,119728,-1777.0841064453125
1722209203.5245473,122320,-1694.510498046875
1722209217.7504058,126160,-1596.845947265625
1722209227.9537246,128770,-1534.8251953125
1722209242.5212014,132550,-1438.9774169921875
1722209253.4452846,135216,-1353.89453125
1722209265.2122827,138958,-1242.3126220703125
1722209275.4252026,141644,-1146.1741943359375
1722209289.0486114,145386,-1063.1666259765625
1722209299.703073,148076,-1035.8551025390625
1722209314.2875617,151814,-919.1431274414062
1722209322.9571373,154504,-822.9147338867188
1722209337.0982401,158194,-740.37744140625
1722209347.859725,160932,-664.7053833007812
1722209361.47569,164622,-584.9030151367188
1722209369.978847,167340,-505.3818359375
1722209383.5465586,171050,-419.3547668457031
1722209393.747866,173746,-342.3542785644531
1722209407.3630056,177458,-268.283935546875
1722209416.0423582,180172,-219.34608459472656
1722209430.764688,183886,-127.8438949584961
1722209442.404255,186602,-39.8970947265625
1722209455.8049505,190292,41.58993148803711
1722209466.348498,193030,62.462615966796875
1722209480.095851,196700,149.1271514892578
1722209488.6534956,199440,182.2901611328125
1722209502.394516,203110,276.0388488769531
1722209512.8032527,205828,324.2412414550781
1722209526.1122305,209508,379.6227722167969
