Wall time,Step,Value
1722200847.3005438,6404,-4000.1484375
1722200847.3015435,6404,-3991.619140625
1722200872.5208094,12806,-3869.80322265625
1722200872.5297618,12808,-3886.740478515625
1722200895.8740487,19210,-3742.900390625
1722200895.8760567,19210,-3786.13671875
1722200922.1170526,25608,-3706.777587890625
1722200922.135168,25612,-3688.03515625
1722200948.2257123,32010,-3538.911865234375
1722200948.2467067,32016,-3547.44677734375
1722200973.0530243,38412,-3429.585693359375
1722200973.077286,38418,-3441.8662109375
1722200995.467901,44814,-3298.08935546875
1722200995.4780366,44816,-3293.7451171875
1722201020.218152,51218,-3160.943359375
1722201020.2201414,51218,-3166.787841796875
1722201045.7025845,57620,-3040.330078125
1722201045.7135882,57622,-3014.87646484375
1722201072.5623899,64024,-2869.51416015625
1722201072.573743,64026,-2880.256591796875
1722201100.1712627,70428,-2719.5947265625
1722201100.1755137,70428,-2715.760986328125
1722201127.0996208,76830,-2596.776123046875
1722201127.101876,76830,-2613.624267578125
1722201154.9043248,83232,-2420.0263671875
1722201154.9063385,83232,-2438.32470703125
1722201181.73084,89632,-2246.659423828125
1722201181.7407694,89634,-2290.926025390625
1722201209.9102082,96034,-2108.07470703125
1722201209.9233165,96036,-2107.34814453125
1722201235.8456705,102438,-1926.4273681640625
1722201235.8486848,102438,-1943.9761962890625
1722201261.531716,108838,-1748.0863037109375
1722201261.5504372,108842,-1749.427490234375
1722201289.8125901,115240,-1632.185302734375
1722201289.8291929,115244,-1610.4681396484375
1722201315.7508533,121640,-1418.406982421875
1722201315.7749302,121646,-1441.1275634765625
1722201342.905409,128042,-1293.9166259765625
1722201342.931682,128048,-1276.173583984375
1722201369.1899228,134444,-1119.8419189453125
1722201369.216061,134450,-1088.7003173828125
1722201396.5045547,140846,-922.1563110351562
1722201396.527256,140852,-915.6447143554688
1722201422.4481497,147248,-759.9055786132812
1722201422.4595983,147250,-775.179443359375
1722201449.533204,153640,-575.7640380859375
1722201449.570046,153650,-577.2837524414062
1722201476.0313978,160030,-441.8303527832031
1722201476.1476703,160054,-435.4693603515625
1722201502.0968468,166432,-235.02938842773438
1722201502.1882482,166458,-248.758544921875
1722201527.0176609,172834,-117.11305236816406
1722201527.098079,172860,-143.50180053710938
